No.,Poem title,Poet,Birth year,,No.,Poem title,Poet,Birth year,,No.,Poem title,Poet,Birth year,Imagist poet?
78,Fork,Charles Simic,1938,,78,Waiting for Love,anonymous,n/a,,78,Miniver Cheevy,Edwin Arlington Robinson,1869,
79,My Noiseless Entourage,Charles Simic,1938,,79,a love without good-byes,anonymous,n/a,,79,Lancelot,Edwin Arlington Robinson,1869,
80,Working Late,Louis Simpson,1923,,80,Wail of a wave,anonymous,n/a,,80,Painted Head,John Crowe Ransom,1888,
81,Cleaning a Fish,Dave Smith,1942,,81,Your still here,anonymous,n/a,,81,Happiness,Carl Sandburg,1878,
82,Pacemaker,W.D. Snodgrass,1926,,82,Why?,anonymous,n/a,,82,Horse Fiddle,Carl Sandburg,1878,
83,Hay for the Horses,Gary Synder,1930,,83,Always on my mind.,anonymous,n/a,,83,The Idea Of Order At Key West,Wallace Stevens,1879,
84,Oranges,Gary Soto,1952,,84,"Lonely in the dark room """,anonymous,n/a,,84,Nomad Exquisite,Wallace Stevens,1879,
85,Glass-Bottom Boat,Elizabeth Spires,1952,,85,Untitled 2,anonymous,n/a,,85,Do You Remember Once,Alan Seeger,1886,
86,Gin,David St. John,1949,,86,As One,anonymous,n/a,,86,To England at the Outbreak of the Balkan War,Alan Seeger,1886,
87,Traveling through the Dark,William Stafford,1914,,87,life goes on,anonymous,n/a,,87,After Love,Sara Teasdale,1884,
88,Notice What This Poem Is Not Doing,William Stafford,1914,,88,Everlasting Love,anonymous,n/a,,88,The Years,Sara Teasdale,1884,
89,The Dancing,Gerald Stern,1925,,89,ethics of the blacks,anonymous,n/a,,89,Prayer,Henry David Thoreau,1817,
90,The Prediction,Mark Strand,1934,,90,Hazed Maze,anonymous,n/a,,90,Tell Me,Jean Toomer,1894,
91,The Night The Porch,Mark Strand,1934,,91,ME AND YOU,anonymous,n/a,,91,O Captain! My Captain!,Walt Whitman,1819,
92,Letter,Jean Valentine,1934,,92,When you left,anonymous,n/a,,92,Beginners,Walt Whitman,1819,
93,Year's End,Ellen Bryant Voigt,1943,,93,MAGIC,anonymous,n/a,,93,Inscription,Walt Whitman,1819,
94,In Trackless Woods,Richard Wilbur,1921,,94,TOGETHER. FOREVER!,anonymous,n/a,,94,A Sort Of A Song,William Carlos Williams,1883,yes
95,The Singing,C. K. Williams,1936,,95,YOU ARE MY EVERYTHING,anonymous,n/a,,95,Portrait Of A Lady,William Carlos Williams,1883,yes
96,More Blues and the Abstract Truth,C.D. Write,1949,,96,Believe in Miracles !,anonymous,n/a,,96,A Golden Day,Ella Wheeler Wilcox,1850,
97,Approximately Forever,C.D. Wright,1949,,97,A Lie,anonymous,n/a,,97,Our Blessings,Ella Wheeler Wilcox,1850,
98,Clear Night,Charles Wright,1935,,98,I love you,anonymous,n/a,,98,A Word for the Hour,John Greenleaf Whittier,1807,
99,Lying in a Hammock at William Duffy's Farm in Pine Island Minnesota,James Wright,1927,,99,It,anonymous,n/a,,99,The Old Guitar,James Whitcomb Riley,1849,
100,A Blessing,James Wright,1927,,100,Memories,anonymous,n/a,,100,Silver Filigree,Elinor Wylie,1885,
